,date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
0,2020-03-03,09:30,09:30 AM,303.895,300.81,303.61,301.48,302.306,38211,11551417.69,215,AAPL
1,2020-03-03,09:31,09:31 AM,303.255,301.13,301.13,301.79,301.968,5995,1810299.805,72,AAPL
2,2020-03-03,09:32,09:32 AM,302.69,301.6,302.18,301.9,302.143,4133,1248758.495,51,AAPL
3,2020-03-03,09:33,09:33 AM,302.145,300.93,301.8,301.59,301.625,9081,2739059.085,78,AAPL
4,2020-03-03,09:34,09:34 AM,301.035,299.72,301.0,300.06,300.306,7188,2158601.335,66,AAPL
5,2020-03-03,09:35,09:35 AM,299.76,298.44,299.76,298.44,298.976,6664,1992379.2,40,AAPL
6,2020-03-03,09:36,09:36 AM,298.22,296.585,298.19,296.78,297.546,10481,3118583.12,49,AAPL
7,2020-03-03,09:37,09:37 AM,297.075,296.39,296.7,296.39,296.783,1821,540441.38,16,AAPL
8,2020-03-03,09:38,09:38 AM,297.32,296.26,296.26,297.05,296.931,1384,410952.9,16,AAPL
9,2020-03-03,09:39,09:39 AM,297.64,296.475,297.08,297.4,296.926,6882,2043443.315,61,AAPL
10,2020-03-03,09:40,09:40 AM,297.76,297.0,297.245,297.07,297.26,2317,688752.215,17,AAPL
11,2020-03-03,09:41,09:41 AM,297.04,296.64,297.04,296.985,296.865,498,147838.66,8,AAPL
12,2020-03-03,09:42,09:42 AM,297.32,296.43,297.04,297.17,296.88,3778,1121614.54,32,AAPL
13,2020-03-03,09:43,09:43 AM,298.05,297.26,297.49,297.98,297.718,6914,2058421.595,52,AAPL
14,2020-03-03,09:44,09:44 AM,298.2,297.75,297.83,298.125,297.939,1950,580981.785,16,AAPL
15,2020-03-03,09:45,09:45 AM,297.94,296.9,297.94,296.9,297.629,1502,447038.5,13,AAPL
16,2020-03-03,09:46,09:46 AM,296.35,295.63,296.35,295.655,296.086,1484,439390.935,17,AAPL
17,2020-03-03,09:47,09:47 AM,296.52,295.89,295.89,296.32,296.25,497,147236.25,6,AAPL
18,2020-03-03,09:48,09:48 AM,295.75,294.41,295.68,294.73,294.693,5626,1657941.93,31,AAPL
19,2020-03-03,09:49,09:49 AM,295.49,294.5,294.5,295.165,295.078,2353,694318.935,26,AAPL
20,2020-03-03,09:50,09:50 AM,295.185,294.58,294.86,294.755,294.848,1939,571710.04,22,AAPL
21,2020-03-03,09:51,09:51 AM,294.835,294.42,294.74,294.42,294.603,2918,859650.9,49,AAPL
22,2020-03-03,09:52,09:52 AM,295.07,294.96,294.97,295.07,294.99,810,238941.7,5,AAPL
23,2020-03-03,09:53,09:53 AM,294.1,293.3,294.1,293.3,293.582,796,233691.05,10,AAPL
24,2020-03-03,09:54,09:54 AM,293.155,292.71,293.14,293.155,293.02299999999997,3596,1053710.34,19,AAPL
25,2020-03-03,09:55,09:55 AM,293.83,293.02,293.02,293.495,293.385,8922,2617583.815,32,AAPL
26,2020-03-03,09:56,09:56 AM,293.81,292.42,293.805,292.42,293.413,2743,804831.89,19,AAPL
27,2020-03-03,09:57,09:57 AM,293.83,292.34,292.34,293.575,293.086,3950,1157690.2,25,AAPL
28,2020-03-03,09:58,09:58 AM,294.365,293.635,293.635,294.32,294.219,5132,1509931.085,28,AAPL
29,2020-03-03,09:59,09:59 AM,294.555,294.18,294.45,294.37,294.385,2860,841942.3,20,AAPL
30,2020-03-03,10:00,10 AM,302.71,294.585,294.585,302.66,300.431,6171,1853958.365,75,AAPL
