,date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
0,2020-03-03,09:30,09:30 AM,1977.225,1961.48,1973.0,1963.67,1970.884,1289,2540469.75,25,AMZN
1,2020-03-03,09:31,09:31 AM,1965.43,1961.69,1965.43,1961.69,1963.56,200,392712.0,2,AMZN
2,2020-03-03,09:32,09:32 AM,1963.47,1958.88,1963.47,1960.035,1960.504,1014,1987951.14,11,AMZN
3,2020-03-03,09:33,09:33 AM,1966.77,1960.045,1961.92,1966.77,1962.239,1158,2272272.86,15,AMZN
4,2020-03-03,09:34,09:34 AM,1965.71,1957.89,1965.71,1959.72,1960.6860000000001,536,1050927.93,9,AMZN
5,2020-03-03,09:35,09:35 AM,1958.89,1955.555,1958.89,1955.555,1957.625,600,1174575.0,4,AMZN
6,2020-03-03,09:36,09:36 AM,1954.43,1952.17,1954.43,1952.17,1953.874,240,468929.8,4,AMZN
7,2020-03-03,09:37,09:37 AM,1950.0,1950.0,1950.0,1950.0,1950.0,100,195000.0,1,AMZN
8,2020-03-03,09:38,09:38 AM,,,,,,0,0.0,0,AMZN
9,2020-03-03,09:39,09:39 AM,1952.0,1947.42,1947.42,1952.0,1950.473,300,585142.0,6,AMZN
10,2020-03-03,09:40,09:40 AM,1955.72,1951.63,1954.57,1953.18,1953.717,662,1293360.66,11,AMZN
11,2020-03-03,09:41,09:41 AM,1952.605,1949.445,1949.445,1952.605,1949.9720000000002,12,23399.66,2,AMZN
12,2020-03-03,09:42,09:42 AM,1952.03,1952.03,1952.03,1952.03,1952.03,10,19520.3,1,AMZN
13,2020-03-03,09:43,09:43 AM,1956.33,1956.33,1956.33,1956.33,1956.33,5,9781.65,1,AMZN
14,2020-03-03,09:44,09:44 AM,1958.62,1956.37,1956.37,1958.62,1958.487,130,254603.35,3,AMZN
15,2020-03-03,09:45,09:45 AM,1957.695,1953.38,1957.695,1953.98,1955.376,825,1613185.0,15,AMZN
16,2020-03-03,09:46,09:46 AM,1957.495,1954.05,1956.215,1954.05,1954.3229999999999,157,306828.655,6,AMZN
17,2020-03-03,09:47,09:47 AM,1959.925,1958.76,1958.76,1959.925,1958.7939999999999,103,201755.775,2,AMZN
18,2020-03-03,09:48,09:48 AM,1958.34,1957.48,1958.16,1957.48,1957.963,350,685287.0,6,AMZN
19,2020-03-03,09:49,09:49 AM,1958.03,1957.99,1957.99,1958.03,1958.003,75,146850.25,2,AMZN
20,2020-03-03,09:50,09:50 AM,1957.215,1955.18,1956.75,1955.18,1956.5710000000001,278,543926.735,6,AMZN
21,2020-03-03,09:51,09:51 AM,1956.72,1954.91,1956.72,1954.91,1955.7220000000002,800,1564577.725,17,AMZN
22,2020-03-03,09:52,09:52 AM,1958.25,1955.0,1958.25,1955.55,1956.348,238,465610.785,6,AMZN
23,2020-03-03,09:53,09:53 AM,1955.11,1953.81,1954.52,1953.81,1954.352,1287,2515251.41,16,AMZN
24,2020-03-03,09:54,09:54 AM,1952.66,1949.555,1952.55,1949.555,1951.3829999999998,1327,2589485.055,23,AMZN
25,2020-03-03,09:55,09:55 AM,1950.49,1949.6,1950.49,1949.72,1949.852,800,1559882.0,3,AMZN
26,2020-03-03,09:56,09:56 AM,1948.995,1945.45,1948.995,1945.565,1946.783,1525,2968844.75,8,AMZN
27,2020-03-03,09:57,09:57 AM,1945.97,1944.265,1944.265,1945.14,1945.102,1000,1945102.25,12,AMZN
28,2020-03-03,09:58,09:58 AM,1951.44,1951.44,1951.44,1951.44,1951.44,10,19514.4,1,AMZN
29,2020-03-03,09:59,09:59 AM,1953.52,1953.52,1953.52,1953.52,1953.52,100,195352.0,1,AMZN
30,2020-03-03,10:00,10 AM,1982.065,1952.21,1952.21,1982.065,1966.594,1341,2637203.04,32,AMZN
31,2020-03-03,10:01,10:01 AM,1990.325,1975.74,1985.85,1976.06,1982.271,218,432134.995,7,AMZN
32,2020-03-03,10:02,10:02 AM,1986.18,1979.105,1979.105,1984.645,1984.5179999999998,830,1647150.05,12,AMZN
33,2020-03-03,10:03,10:03 AM,1994.29,1987.765,1987.765,1994.29,1992.5639999999999,910,1813232.9,10,AMZN
34,2020-03-03,10:04,10:04 AM,1994.18,1989.745,1994.18,1991.335,1990.664,317,631040.515,9,AMZN
35,2020-03-03,10:05,10:05 AM,1992.005,1985.73,1992.005,1985.97,1987.1529999999998,528,1049216.655,13,AMZN
36,2020-03-03,10:06,10:06 AM,1986.375,1973.03,1986.375,1978.31,1977.944,1469,2905599.085,38,AMZN
