date,open,high,low,close,volume,symbol
2025-03-28,221.62,223.8,217.7,217.8,1154015,AAPL
2025-03-27,221.4,224.99,220.56,223.83,1031776,AAPL
2025-03-26,223.51,225.01,220.5,221.49,1139152,AAPL
2025-03-25,220.77,224.1,220.09,223.74,986305,AAPL
2025-03-24,221.0,221.03,218.66,220.34,1325190,AAPL
2025-03-21,211.52,218.84,211.32,218.22,1502521,AAPL
2025-03-20,213.92,217.46,212.22,214.11,1096773,AAPL
2025-03-19,214.21,218.71,213.75,215.32,1228697,AAPL
2025-03-18,214.18,215.13,211.5,212.79,1265863,AAPL
2025-03-17,213.32,215.2,209.98,214.11,1597934,AAPL
2025-03-14,211.25,213.96,209.59,213.33,1460527,AAPL
2025-03-13,215.97,216.8,208.45,209.69,2174336,AAPL
2025-03-12,220.17,221.73,214.93,216.95,2055704,AAPL
2025-03-11,223.74,225.83,217.48,220.92,2425098,AAPL
2025-03-10,235.6,236.15,224.23,227.55,2748278,AAPL
2025-03-07,235.04,241.34,234.85,239.02,1888644,AAPL
2025-03-06,234.44,237.83,233.34,235.32,1875430,AAPL
2025-03-05,235.5,236.53,229.24,235.68,1327198,AAPL
2025-03-04,237.71,240.05,234.7,235.97,1987938,AAPL
2025-03-03,241.8,244.01,236.14,238.1,1339138,AAPL
