date,open,high,low,close,volume,symbol
2025-03-28,198.41,199.25,191.89,192.62,2122658,AMZN
2025-03-27,200.76,203.78,199.32,201.41,935066,AMZN
2025-03-26,205.84,206.01,199.92,201.13,1477247,AMZN
2025-03-25,203.61,206.2,203.24,205.72,1189922,AMZN
2025-03-24,200.04,203.55,200.04,203.03,1286022,AMZN
2025-03-21,192.89,196.75,192.57,196.19,1137307,AMZN
2025-03-20,193.08,199.28,192.32,194.97,1325402,AMZN
2025-03-19,193.46,195.96,191.98,195.53,1362105,AMZN
2025-03-18,192.49,193.93,189.4,192.85,1577611,AMZN
2025-03-17,198.77,199.0,194.34,195.79,1658119,AMZN
2025-03-14,197.29,198.57,195.35,198.11,1420316,AMZN
2025-03-13,198.37,198.87,191.84,193.92,1846361,AMZN
2025-03-12,200.75,201.5,195.3,198.86,1787204,AMZN
2025-03-11,193.9,200.11,193.4,196.5,2233810,AMZN
2025-03-10,195.78,196.68,190.85,194.62,3020717,AMZN
2025-03-07,199.5,202.25,192.56,199.27,2639980,AMZN
2025-03-06,204.4,205.76,198.33,200.69,2187462,AMZN
2025-03-05,204.77,209.95,203.26,208.27,1643238,AMZN
2025-03-04,200.05,206.8,197.46,203.76,2271217,AMZN
2025-03-03,213.28,214.01,202.55,205.08,1727643,AMZN
