date,open,high,low,close,volume,symbol
2025-03-28,275.56,276.01,260.63,263.51,1428556,TSLA
2025-03-27,272.33,291.81,271.88,273.24,1878164,TSLA
2025-03-26,282.64,284.72,266.62,272.14,1772422,TSLA
2025-03-25,283.58,288.2,271.35,288.14,1805504,TSLA
2025-03-24,258.08,278.62,256.34,278.43,1981851,TSLA
2025-03-21,234.87,249.49,234.55,248.84,1091990,TSLA
2025-03-20,233.35,237.95,230.09,236.19,952873,TSLA
2025-03-19,231.59,241.35,229.23,235.72,1054541,TSLA
2025-03-18,228.16,230.0,222.32,225.41,1034349,TSLA
2025-03-17,244.97,245.24,232.8,237.86,1288620,TSLA
2025-03-14,247.31,251.56,240.75,249.92,869568,TSLA
2025-03-13,248.21,248.27,232.6,240.67,1209788,TSLA
2025-03-12,247.35,251.81,241.11,248.15,1894763,TSLA
2025-03-11,225.25,237.02,218.17,230.55,2533258,TSLA
2025-03-10,252.54,253.34,220.23,222.09,2840073,TSLA
2025-03-07,259.32,266.16,250.74,262.65,1304753,TSLA
2025-03-06,272.0,272.62,260.05,263.44,1109457,TSLA
2025-03-05,272.93,279.54,267.81,279.13,978994,TSLA
2025-03-04,270.71,284.31,261.94,271.83,1589222,TSLA
2025-03-03,300.4,303.89,277.32,284.81,1469458,TSLA
