date,minute,label,high,low,open,close,average,volume,symbol
2025-04-02,15:59,03:59 PM,196.33,196.01,196.33,196.01,196.17000000000002,39311,AMZN
2025-04-02,15:58,03:58 PM,196.49,196.34,196.44,196.35,196.41500000000002,16316,AMZN
2025-04-02,15:57,03:57 PM,196.49,196.39,196.41,196.44,196.44,7378,AMZN
2025-04-02,15:56,03:56 PM,196.62,196.38,196.5,196.4,196.5,7445,AMZN
2025-04-02,15:55,03:55 PM,196.6,196.31,196.41,196.47,196.45499999999998,5251,AMZN
2025-04-02,15:54,03:54 PM,196.95,196.28,196.9,196.39,196.615,6465,AMZN
2025-04-02,15:53,03:53 PM,196.93,196.72,196.82,196.87,196.825,3487,AMZN
2025-04-02,15:52,03:52 PM,197.16,196.82,197.09,196.85,196.99,19810,AMZN
2025-04-02,15:51,03:51 PM,197.23,196.99,197.06,197.16,197.11,9376,AMZN
2025-04-02,15:50,03:50 PM,197.19,196.81,197.19,197.0,197.0,11346,AMZN
2025-04-02,15:49,03:49 PM,197.43,197.14,197.23,197.17,197.285,7173,AMZN
2025-04-02,15:48,03:48 PM,197.3,197.04,197.04,197.24,197.17000000000002,7867,AMZN
2025-04-02,15:47,03:47 PM,197.06,196.92,197.01,197.03,196.99,11392,AMZN
2025-04-02,15:46,03:46 PM,197.07,196.87,196.89,197.02,196.97,12009,AMZN
2025-04-02,15:45,03:45 PM,196.92,196.68,196.74,196.88,196.8,12157,AMZN
2025-04-02,15:44,03:44 PM,196.78,196.62,196.71,196.71,196.7,5210,AMZN
2025-04-02,15:43,03:43 PM,196.76,196.62,196.62,196.72,196.69,9966,AMZN
2025-04-02,15:42,03:42 PM,196.86,196.59,196.75,196.63,196.72500000000002,4113,AMZN
2025-04-02,15:41,03:41 PM,196.84,196.64,196.72,196.66,196.74,2672,AMZN
2025-04-02,15:40,03:40 PM,196.82,196.57,196.66,196.73,196.695,9995,AMZN
2025-04-02,15:39,03:39 PM,196.78,196.65,196.74,196.66,196.715,5566,AMZN
2025-04-02,15:38,03:38 PM,196.85,196.68,196.74,196.73,196.765,13364,AMZN
2025-04-02,15:37,03:37 PM,196.87,196.65,196.67,196.7,196.76,14261,AMZN
2025-04-02,15:36,03:36 PM,196.75,196.58,196.75,196.67,196.66500000000002,17006,AMZN
2025-04-02,15:35,03:35 PM,196.71,196.49,196.57,196.7,196.60000000000002,13088,AMZN
2025-04-02,15:34,03:34 PM,196.7,196.35,196.38,196.6,196.52499999999998,10509,AMZN
2025-04-02,15:33,03:33 PM,196.45,196.26,196.26,196.36,196.355,10992,AMZN
2025-04-02,15:32,03:32 PM,196.32,196.09,196.19,196.27,196.20499999999998,6687,AMZN
2025-04-02,15:31,03:31 PM,196.19,195.89,195.89,196.19,196.04,4219,AMZN
