date,minute,label,high,low,open,close,average,volume,symbol
2025-04-02,16:00,04:00 PM,282.7,282.7,282.7,282.7,282.7,100,TSLA
2025-04-02,15:59,03:59 PM,283.33,282.65,283.14,282.75,282.99,19908,TSLA
2025-04-02,15:58,03:58 PM,283.34,283.07,283.32,283.14,283.205,9708,TSLA
2025-04-02,15:57,03:57 PM,283.47,283.02,283.02,283.26,283.245,7534,TSLA
2025-04-02,15:56,03:56 PM,283.5,282.73,282.85,283.06,283.115,7799,TSLA
2025-04-02,15:55,03:55 PM,283.14,282.33,283.06,282.84,282.735,8529,TSLA
2025-04-02,15:54,03:54 PM,283.29,282.28,282.68,282.89,282.78499999999997,8748,TSLA
2025-04-02,15:53,03:53 PM,282.83,282.34,282.6,282.66,282.585,8400,TSLA
2025-04-02,15:52,03:52 PM,283.11,282.35,282.57,282.8,282.73,11273,TSLA
2025-04-02,15:51,03:51 PM,282.76,281.71,282.04,282.65,282.235,6704,TSLA
2025-04-02,15:50,03:50 PM,282.36,281.35,281.52,282.03,281.855,7784,TSLA
2025-04-02,15:49,03:49 PM,282.25,281.6,282.18,281.85,281.925,8020,TSLA
2025-04-02,15:48,03:48 PM,282.33,280.89,281.05,282.24,281.61,9819,TSLA
2025-04-02,15:47,03:47 PM,281.66,280.64,281.66,281.16,281.15,11475,TSLA
2025-04-02,15:46,03:46 PM,282.3,280.56,280.62,281.63,281.43,8054,TSLA
2025-04-02,15:45,03:45 PM,280.81,279.51,280.4,280.63,280.15999999999997,6053,TSLA
2025-04-02,15:44,03:44 PM,281.62,278.92,281.52,280.28,280.27,13222,TSLA
2025-04-02,15:43,03:43 PM,281.88,279.51,279.51,281.43,280.695,25839,TSLA
2025-04-02,15:42,03:42 PM,284.95,278.54,283.51,279.58,281.745,19299,TSLA
2025-04-02,15:41,03:41 PM,283.46,283.09,283.16,283.46,283.275,5466,TSLA
2025-04-02,15:40,03:40 PM,283.19,282.61,282.86,283.01,282.9,3467,TSLA
2025-04-02,15:39,03:39 PM,283.03,282.67,282.67,282.86,282.85,6157,TSLA
2025-04-02,15:38,03:38 PM,283.19,282.54,283.11,282.61,282.865,6402,TSLA
2025-04-02,15:37,03:37 PM,283.57,282.95,283.01,282.97,283.26,6453,TSLA
2025-04-02,15:36,03:36 PM,283.17,282.69,282.98,282.86,282.93,9412,TSLA
2025-04-02,15:35,03:35 PM,282.84,282.21,282.8,282.83,282.525,7759,TSLA
2025-04-02,15:34,03:34 PM,283.1,282.23,282.29,282.76,282.665,17523,TSLA
2025-04-02,15:33,03:33 PM,282.35,281.55,281.55,282.19,281.95000000000005,15190,TSLA
2025-04-02,15:32,03:32 PM,281.76,281.03,281.16,281.64,281.395,7812,TSLA
2025-04-02,15:31,03:31 PM,281.3,280.13,280.25,281.18,280.71500000000003,6566,TSLA
2025-04-02,15:30,03:30 PM,280.67,279.27,280.67,280.25,279.97,5013,TSLA
2025-04-02,15:29,03:29 PM,280.86,280.3,280.82,280.66,280.58000000000004,4449,TSLA
2025-04-02,15:28,03:28 PM,280.98,280.43,280.82,280.91,280.70500000000004,6605,TSLA
2025-04-02,15:27,03:27 PM,280.71,279.93,280.23,280.64,280.32,4103,TSLA
2025-04-02,15:26,03:26 PM,280.42,279.93,280.03,280.28,280.175,4764,TSLA
2025-04-02,15:25,03:25 PM,280.62,279.83,280.6,280.0,280.225,8015,TSLA
2025-04-02,15:24,03:24 PM,280.87,279.8,279.87,280.61,280.33500000000004,8626,TSLA
2025-04-02,15:23,03:23 PM,279.79,278.91,279.19,279.79,279.35,4942,TSLA
2025-04-02,15:22,03:22 PM,279.81,278.81,279.65,279.2,279.31,8663,TSLA
2025-04-02,15:21,03:21 PM,280.27,279.55,280.27,279.55,279.90999999999997,9427,TSLA
2025-04-02,15:20,03:20 PM,280.32,279.44,279.51,280.19,279.88,6586,TSLA
2025-04-02,15:19,03:19 PM,280.1,279.3,279.85,279.56,279.70000000000005,5935,TSLA
